#,Country (or dependency),Population 2026,Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Median Age,Urban Pop %,World Share
1,India,1476625576,0.0087,12760051,497,2973190,"−440,456",1.93,29.2,0.376,0.1779
2,China,1412914089,−0.22%,"−3,182,005",150,9388211,"−232,107",1.03,40.6,0.687,0.1702
3,United States,349035494,0.0051,1759687,38,9147420,1177848,1.63,38.7,0.831,0.042
4,Indonesia,287886782,0.0076,2165546,159,1811570,"−39,472",2.08,30.7,0.603,0.0347
5,Pakistan,259299791,0.016,4080237,336,770880,"−1,144,738",3.44,20.8,0.347,0.0312
6,Nigeria,242431832,0.0206,4904050,266,910770,"−2,810",4.21,18.3,0.558,0.0292
7,Brazil,213562666,0.0035,750261,26,8358140,"−205,642",1.59,35.3,0.917,0.0257
8,Bangladesh,177818044,0.0121,2131145,1366,130170,"−371,398",2.09,26.3,0.432,0.0214
9,Russia,143394458,−0.42%,"−602,935",9,16376870,324924,1.47,40.7,0.754,0.0173
10,Ethiopia,138902185,0.0253,3430134,139,1000000,27298,3.72,19.3,0.229,0.0167
11,Mexico,132997658,0.008,1050758,68,1943950,"−109,844",1.85,30,0.883,0.016
12,Japan,122427731,−0.55%,"−675,748",336,364555,128619,1.23,50.2,0.934,0.0147
13,Egypt,120101175,0.0147,1735180,121,995450,"−52,287",2.68,24.7,0.411,0.0145
14,Philippines,117724471,0.008,937509,395,298170,"−144,275",1.86,26.6,0.499,0.0142
15,DR Congo,116452162,0.0321,3619689,51,2267050,"−28,843",5.8,15.9,0.454,0.014
16,Vietnam,102177431,0.0057,578904,330,310070,"−51,045",1.86,33.9,0.422,0.0123
17,Iran,93168497,0.0081,750816,57,1628550,66848,1.66,34.5,0.735,0.0112
18,Turkey,87926082,0.0027,240656,114,769630,"−217,896",1.62,33.9,0.775,0.0106
19,Germany,83644258,−0.51%,"−430,817",240,348560,158442,1.46,45.7,0.77,0.0101
20,Tanzania,72563780,0.0286,2017915,82,885800,"−25,275",4.41,17.6,0.408,0.0087
21,Thailand,71559614,−0.08%,"−60,249",140,510890,29200,1.19,41,0.543,0.0086
22,United Kingdom,69931528,0.0055,380196,289,241930,364099,1.53,40.2,0.847,0.0084
23,France,66746401,0.0014,95597,122,547557,88533,1.64,42.5,0.83,0.008
24,South Africa,65453084,0.0109,705765,54,1213090,131684,2.17,28.9,0.669,0.0079
25,Italy,58926166,−0.37%,"−220,094",200,294140,58272,1.22,48.6,0.724,0.0071
26,Kenya,58636412,0.0192,1103919,103,569140,"−34,838",3.07,20.3,0.326,0.0071
27,Myanmar,55184819,0.0061,334171,84,653290,"−40,682",2.06,30.4,0.346,0.0066
28,Colombia,53936226,0.0096,510591,49,1109500,115815,1.6,33,0.805,0.0065
29,Sudan,53282719,0.0314,1620572,30,1765048,252038,4.13,18.8,0.354,0.0064
30,Uganda,52761469,0.0268,1376575,264,199810,"−121,799",3.97,17.1,0.308,0.0064
31,South Korea,51600388,−0.13%,"−66,641",531,97230,62644,0.76,46.2,0.828,0.0062
32,Algeria,48028334,0.0125,593022,20,2381740,"−28,841",2.62,28.8,0.748,0.0058
33,Iraq,48007437,0.021,986663,111,434320,"−13,102",3.13,21.1,0.73,0.0058
34,Spain,47850793,−0.08%,"−39,165",96,498800,85305,1.24,46.3,0.796,0.0058
35,Argentina,46003734,0.0033,152356,17,2736690,2316,1.51,33.3,0.965,0.0055
36,Afghanistan,45047069,0.0274,1202958,69,652860,"−53,884",4.56,17.4,0.269,0.0054
37,Yemen,42961653,0.0284,1187775,81,527970,"−22,178",4.33,18.5,0.333,0.0052
38,Canada,40467728,0.0085,341005,4,9093510,291403,1.33,40.8,0.802,0.0049
39,Angola,40215179,0.0301,1175140,32,1246700,"−4,270",4.89,16.7,0.694,0.0048
40,Ukraine,39535849,0.0143,555473,68,579320,"−6,229",1,41.8,0.755,0.0048
41,Morocco,38762441,0.0086,331671,87,446300,"−60,886",2.16,30.1,0.679,0.0047
42,Poland,37843188,−0.78%,"−297,722",124,306230,"−7,971",1.31,43,0.597,0.0046
43,Uzbekistan,37724223,0.0181,670795,89,425400,"−4,517",3.4,27,0.479,0.0045
44,Mozambique,36639851,0.0283,1008198,47,786380,"−55,988",4.54,16.6,0.421,0.0044
45,Malaysia,36385115,0.0113,407277,111,328550,159001,1.52,31.4,0.778,0.0044
46,Ghana,35697557,0.0181,633285,157,227540,"−24,195",3.26,21.6,0.592,0.0043
47,Saudi Arabia,35165787,0.0173,599459,16,2149690,108660,2.27,29.7,0.919,0.0042
48,Peru,34922148,0.01,345483,27,1280000,6707,1.93,30.6,0.809,0.0042
49,Madagascar,33522052,0.0239,781374,58,581795,"−2,665",3.78,19.4,0.41,0.004
50,Côte d'Ivoire,33494346,0.0239,782799,105,318000,6535,4.1,18.5,0.495,0.004
51,Cameroon,30640817,0.0255,761480,65,472710,"−18,922",4.12,18.2,0.598,0.0037
52,Nepal,29629410,0.0004,11292,207,143350,"−292,014",1.92,25.7,0.253,0.0036
53,Niger,28814878,0.0321,897047,23,1266700,"−10,620",5.64,15.7,0.185,0.0035
54,Venezuela,28633711,0.0041,116815,32,882050,"−92,869",2.04,29.5,–,0.0034
55,Australia,27227096,0.0094,253070,4,7682300,131706,1.64,38.5,0.867,0.0033
56,North Korea,26633691,0.0024,62655,221,120410,"−2,809",1.75,36.8,0.637,0.0032
57,Syria,26472497,0.0333,852070,144,183630,305822,2.62,23.8,0.542,0.0032
58,Mali,25932275,0.0291,733454,21,1220190,"−52,609",5.33,15.9,0.451,0.0031
59,Burkina Faso,24601700,0.0219,527120,90,273600,"−28,309",3.92,18,0.345,0.003
60,Sri Lanka,23348315,0.0051,118845,372,62710,"−30,760",1.93,33.6,0.182,0.0028
61,Taiwan,23011292,−0.44%,"−101,501",650,35410,"−15,041",0.86,45.4,0.849,0.0028
62,Malawi,22785535,0.0256,569415,242,94280,1348,3.45,18.4,0.202,0.0027
63,Zambia,22521915,0.0277,608041,30,743390,6939,3.91,18.2,0.474,0.0027
64,Chad,21560380,0.0265,556675,17,1259200,"−112,304",5.83,15.7,0.227,0.0026
65,Kazakhstan,21083626,0.0115,239872,8,2699700,"−12,814",2.92,29.7,0.552,0.0025
66,Somalia,20305907,0.0331,651168,32,627340,15364,5.8,15.6,0.471,0.0024
67,Chile,19945850,0.0043,85929,27,743532,48106,1.12,37.4,0.851,0.0024
68,Senegal,19366548,0.023,434582,101,192530,"−13,429",3.66,19.8,0.53,0.0023
69,Guatemala,18967978,0.015,280097,177,107160,"−7,432",2.23,23.8,0.571,0.0023
70,Romania,18800605,−0.57%,"−108,045",82,230170,"−28,982",1.71,43.5,0.555,0.0023
71,Netherlands,18448775,0.0056,101956,547,33720,89379,1.44,41.5,0.889,0.0022
72,Ecuador,18444506,0.0085,154610,74,248360,"−13,851",1.78,29.7,0.664,0.0022
73,Cambodia,18051219,0.0114,203237,102,176520,"−34,323",2.49,26.4,0.269,0.0022
74,Zimbabwe,17273580,0.019,322785,45,386850,"−54,620",3.57,18.3,0.382,0.0021
75,Guinea,15441993,0.0227,342266,63,245720,"−19,725",3.96,18.5,0.409,0.0019
